NAME,USERNAME,TEAM,ID,FOLLOWERS
Al Horford,al_horford,BOS,10733526,423855
Andre Drummond,andredrummondd,DET,24949656,1002365
Anthony Davis,antdavis23,NOP,36118956,2870267
Bradley Beal,bradbeal3,WAS,180962639,832668
Damian Lillard,damianlillard,POR,175434065,4349102
DeMar DeRozan,demar_derozan,TOR,11032693,2227038
DeMarcus Cousins,boogiecousins,NOP,26010027,2576512
Draymond Green,money23green,GSW,13745183,2960604
Giannis Antetokounmpo,giannis_an34,MIL,912639211,2555473
Goran Dragic,the_1_dragon,MIA,1293075516,338248
James Harden,jharden13,HOU,12043476,7296945
Jimmy Butler,jimmybutler,MIN,371120493,3262241
Joel Embiid,joelembiid,PHI,1015036453,2156423
John Wall,johnwall,WAS,6405615,4039728
Karl-Anthony Towns,karltowns,MIN,20650588,2029066
Kemba Walker,_kw15,CHA,505904207,1022366
Kevin Durant,kevindurant,GSW,13864937,9565005
Kevin Love,kevinlove,CLE,194908318,2858330
Klay Thompson,klaythompson,GSW,1363035707,4805520
Kristaps Porzingis,kporzee,NYK,178146107,1664967
Kyle Lowry,kyle_lowry7,TOR,1331661501,1201319
Kyrie Irving,kyrieirving,BOS,10768203,11324811
LaMarcus Aldridge,aldridge_121,SAS,3526338795,309320
LeBron James,kingjames,CLE,19410587,36406959
Paul George,ygtrece,OKC,18706841,6329302
Russell Westbrook,russwest44,OKC,20650647,10162665
Stephen Curry,stephencurry30,GSW,324599988,19800614
Victor Oladipo,vicoladipo,IND,23755775,866915
